"","X","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating","Production"
"30",30,"Anijam","31 May 2013",0.006925,0,0,"Animation, Short","6.9/10","46","Marv Newland",NA,"N/A"
"31",31,"Black Star and the Golden Bat","'12/05/1979'",0.002963,0,0,"Animation","2.8/10","13","Heon-myeong Han",NA,"N/A"
"32",32,"Roberta","08 Mar 1935",0.028693,0,0,"Comedy, Musical, Romance","7.1/10","2,319","William A. Seiter","83%","Warner Bros."
"33",33,"Tu Hai Mera Sunday","16 May 2016",0.237591,0,0,"Comedy, Drama","8.2/10","112","Milind Dhaimade",NA,"N/A"
"35",35,"Alive in the Deep","07 May 1941",0.014781,0,0,"Documentary, Short",NA,"N/A","N/A",NA,"N/A"
"36",36,"I and i","'01/01/2014'",0.024875,0,0,"Short",NA,"N/A","Alexandru Gherman",NA,"N/A"
"37",37,"The Mechanics of Love","13 Mar 2017",0.005057,0,0,"Drama","6.0/10","113","David Weaver",NA,"N/A"
"38",38,"Majesty","28 Oct 2010",0.007506,0,0,"Drama","6.5/10","263","Peter de Baan",NA,"N/A"
"39",39,"Free Lisl: Fear & Loathing in Denver","18 Nov 2006",0.006221,0,0,"N/A","8.8/10","11","Wayne Ewing",NA,"N/A"
"40",40,"Los Tentados","01 Apr 2013",0.016877,0,0,"N/A","5.4/10","17","Mariano Blanco",NA,"N/A"
"41",41,"Wenn die Sonne wieder scheint","'01/01/1943'",0.00459,0,0,"N/A","6.8/10","16","Boleslaw Barlog",NA,"N/A"
"42",42,"A Stranger in Town","01 Apr 1943",0.002,0,0,"Drama, Romance","7.2/10","352","Roy Rowland",NA,"MGM"
"43",43,"Sucker Punch","25 Mar 2011",0.013417,0,0,"Action, Fantasy","6.1/10","207,049","Zack Snyder","23%","IMAX"
"45",45,"Hollywood Ghosts & Gravesites","27 May 2003",0.003936,0,0,"Documentary","6.4/10","15","Fred Calvert, Lynn Stevenson",NA,"N/A"
"46",46,"Mama","18 Jan 2013",0,0,0,"Horror, Thriller","6.2/10","144,704","Andy Muschietti","65%","Universal Pictures"
"47",47,"Jacktown","01 Jul 1962",0.002116,0,0,"Drama","5.2/10","49","William Martin",NA,"N/A"
"49",49,"Fearmakers","19 Jan 2008",0.007228,0,0,"Horror","2.3/10","165","Timo Rose",NA,"N/A"
"50",50,"Fighting Mustang","20 Feb 1948",0.002353,0,0,"Western","7.7/10","46","Oliver Drake",NA,"Yucca"
"51",51,"Watchers II","16 Aug 1990",0.001925,0,0,"Horror, Sci-Fi","3.7/10","784","Thierry Notz",NA,"Live Home Video"
"52",52,"Pneumenon","'14/04/2003'",0.00375,0,0,"Short",NA,"N/A","Peter Rose",NA,"N/A"
"54",54,"The Wind is Watching","22 Aug 2014",3e-06,0,0,"Sci-Fi","6.2/10","17","Conrad Faraj",NA,"N/A"
"55",55,"Sugar Coated","01 May 2016",0.228153,0,0,"Documentary","7.5/10","577","Michèle Hozer",NA,"N/A"
"56",56,"The 13th Sign","01 Aug 2000",0.001913,0,0,"Horror","3.2/10","157","Jonty Acton, Adam Mason",NA,"Maverick Entertainment"
"57",57,"Bud Abbott and Lou Costello in Hollywood","05 Oct 1945",0.01566,0,0,"Comedy","7.0/10","1,873","S. Sylvan Simon",NA,"MGM"
"58",58,"The Road Uphill","23 Dec 2011",0.066468,0,0,"Documentary","8.1/10","68","Jean-Louis Schuller",NA,"N/A"
"60",60,"When Hari Got Married","16 Mar 2013",0.021241,0,0,"Documentary, Family","7.5/10","82","Ritu Sarin, Tenzing Sonam",NA,"N/A"
"61",61,"Cesta","02 Jun 2004",0.045165,0,0,"Documentary","6.0/10","7","Jasmina Bralic",NA,"N/A"
"62",62,"The Bedroom Window","16 Jan 1987",2.565222,0,0,"Crime, Mystery, Thriller","6.4/10","3,567","Curtis Hanson","86%","Vestron Video"
"63",63,"Four Corners","28 Mar 2014",0.171083,0,0,"Crime, Thriller","6.6/10","317","Ian Gabriel","100%","Giant Films"
"64",64,"Honey I Blew Up the Kid","17 Jul 1992",3.693572,40000000,58662452,"Adventure, Comedy, Family","4.7/10","34,167","Randal Kleiser","41%","N/A"
"65",65,"An Acquired Taste","20 Sep 1981",1e-06,0,0,"Short","7.4/10","10","Ralph Arlyck",NA,"N/A"
"66",66,"Afghan Stories","19 May 2003",0.008288,0,0,"Documentary","7.3/10","34","Taran Davies","100%","Seventh Art Releasing"
"68",68,"Blow-Up","24 Feb 1967",0.001971,0,0,"Drama, Mystery, Thriller","7.7/10","44,975","Michelangelo Antonioni","86%","MGM"
"69",69,"Ratko: The Dictator's Son","01 Jun 2009",0.130217,0,0,"Comedy, Thriller","3.8/10","393","Savage Steve Holland, Kevin Speckmaier",NA,"Virgil Films"
"70",70,"From a Whisper","09 Oct 2010",0.009698,0,0,"Drama","5.6/10","18","Wanuri Kahiu",NA,"N/A"
"71",71,"The Dark Angel: Psycho Kickboxer","'28/06/1998'",0.008172,10000,0,"Action, Horror","5.0/10","44","David Haycox, Mardy South",NA,"N/A"
"72",72,"Bears","18 Apr 2014",1.183014,0,0,"Documentary","7.4/10","5,513","Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)","89%","Walt Disney Pictures"
"73",73,"Prelude to Eden","'01/01/1995'",0.026553,0,0,"Animation, Short","6.4/10","36","Michel Gagné",NA,"N/A"
"75",75,"Bass on Titles","'31/12/1977'",3.6e-05,0,0,"Documentary, Short","6.9/10","46","N/A",NA,"N/A"
"76",76,"Volcanoes of the Deep Sea","14 Sep 2003",0.582101,0,0,"Short, Documentary","7.0/10","286","Stephen Low","78%","Stephen Low Distribution"
"78",78,"Hevisaurus-elokuva","27 Nov 2015",0.04875,0,0,"Family, Fantasy, Music","5.4/10","15","Pekka Karjalainen",NA,"N/A"
"79",79,"Popp und Mingel","09 Jul 1975",0,0,0,"Drama",NA,"N/A","Ula Stöckl",NA,"N/A"
"80",80,"Hum Do Anjaane","'01/01/2011'",0.025896,0,0,"Action, Crime, Drama","3.8/10","12","Milind Swamy",NA,"N/A"
"81",81,"Matalo!","21 Jan 2005",0.00375,0,0,"Short",NA,"N/A","Jean-Stéphane Sauvaire",NA,"N/A"
"82",82,"Antarctic","19 May 2005",NA,0,0,"Horror, Mystery, Thriller","6.0/10","1,452","Pil-sung Yim",NA,"Asian Crush"
"84",84,"Big Time Paranoia","01 Nov 2007",0.005625,0,0,"Comedy","7.0/10","27","N/A",NA,"N/A"
"85",85,"Before I Self Destruct","16 Nov 2009",0.588975,0,0,"Action, Crime, Drama","4.9/10","1,560","50 Cent",NA,"N/A"
"86",86,"Fles","01 Mar 1991",NA,10,0,"Documentary",NA,"N/A","Rein Bloem",NA,"N/A"
"87",87,"Burden","05 May 2017",0.118906,0,0,"Documentary, Biography","6.4/10","80","Richard Dewey, Timothy Marrinan","97%","Magnolia Pictures"
"88",88,"Hook","11 Dec 1991",4.147069,70000000,300854823,"Adventure, Comedy, Family","6.7/10","195,020","Steven Spielberg","30%","TriStar Pictures"
"89",89,"The Wolverine","26 Jul 2013",1.840134,120000000,415440673,"Action, Adventure, Sci-Fi","6.7/10","362,900","James Mangold","69%","20th Century Fox"
"90",90,"Prince Philip: The Plot to Make a King","06 Apr 2016",0.062146,0,0,"Documentary",NA,"N/A","N/A",NA,"N/A"
"91",91,"Erendira Ikikunari","27 Jan 2009",0.007387,0,0,"Documentary, Short",NA,"N/A","N/A",NA,"N/A"
"92",92,"Top Banana","22 Feb 1954",0.002955,0,0,"Comedy, Musical, Romance","5.7/10","218","Alfred E. Green, Albert Zugsmith",NA,"United Artists"
"94",94,"Sleeping Dogs","13 Jul 1978",0.020625,0,0,"Action, Thriller, Drama","6.6/10","678","Roger Donaldson",NA,"Grindstone Media"
"95",95,"Bread and Dripping","'01/01/1982'",0,0,0,"Short",NA,"N/A","Wendy Brady, Donna Foster, Margot Nash, Elizabeth Schaffer, Vic Smith",NA,"N/A"
"97",97,"Deutschstunde","24 Jan 1971",2.3e-05,0,0,"Drama, War","8.1/10","27","Peter Beauvais",NA,"N/A"
"98",98,"Tank Patrol","'16/06/1941'",0.001876,0,0,"Short, War",NA,"N/A","John Eldridge",NA,"N/A"
"99",99,"Nuclear Family","15 Oct 2012",0.305327,0,0,"Sci-Fi","5.2/10","307","Kyle Rankin",NA,"N/A"
"100",100,"Love Thy Neighbor And His Wife","17 Jan 1972",0.25,0,0,"N/A",NA,"N/A","Byron Mabe, Lee Raymond",NA,"N/A"
"101",101,"Die Fledermaus","14 Mar 1948",0.03128,0,0,"Comedy, Romance","7.0/10","76","Géza von Bolváry",NA,"N/A"
"102",102,"Waris","'01/01/1969'",0.001875,0,0,"Comedy, Drama, Family","6.0/10","26","Ramanna",NA,"N/A"
"103",103,"Subtleties","24 Jun 2002",0.00375,0,0,"Drama","4.6/10","5","Jim Knox",NA,"N/A"
"104",104,"Maria","30 Mar 2005",0.160056,0,0,"Comedy, Drama","7.1/10","251","Cãlin Peter Netzer",NA,"N/A"
"105",105,"Home on the Range","02 Apr 2004",0.001878,0,0,"Animation, Comedy, Family","5.4/10","15,073","Will Finn, John Sanford","54%","Walt Disney Pictures"
"106",106,"Three Wise Fools","18 Dec 1946",0.015705,0,0,"Comedy, Drama","6.7/10","286","Edward Buzzell",NA,"N/A"
"107",107,"Ellam Un Kairasi","06 Oct 1980",0.25,0,0,"Drama","5.4/10","14","I.V. Sasi",NA,"N/A"
"108",108,"Mango Tango","03 Jul 2009",0,0,0,"Comedy, Thriller","7.8/10","23","Marianne Hettinger",NA,"N/A"
"109",109,"Titanic","19 Dec 1997",1.4e-05,0,0,"Drama, Romance","7.7/10","856,815","James Cameron","88%","Paramount Pictures"
"110",110,"An Arcadian Maid","01 Aug 1910",0.003402,0,0,"Drama, Short","5.5/10","96","D.W. Griffith",NA,"N/A"
"111",111,"Blood on the Coal","15 Apr 2015",0.176027,0,0,"Documentary",NA,"N/A","Jeff Bird",NA,"N/A"
"112",112,"Rip Van Winkle","01 May 1903",0.000166,0,0,"Short, Comedy","4.8/10","261","William K.L. Dickson",NA,"N/A"
"114",114,"Red Rock Outlaw","16 Dec 1949",0.00211,0,0,"Music, Western",NA,"N/A","Elmer Clifton",NA,"N/A"
"115",115,"The Hungry Bachelors Club","31 Aug 2004",3.6e-05,0,0,"Comedy, Drama, Romance","6.6/10","54","Gregory Ruzzin",NA,"N/A"
"116",116,"Scream","20 Dec 1996",6.41865,14000000,173046663,"Horror, Mystery","7.2/10","236,718","Wes Craven","79%","Miramax Films"
"118",118,"Twilight on the Prairie","01 May 1944",0.00531,0,0,"Musical, Western",NA,"N/A","Jean Yarbrough",NA,"N/A"
"119",119,"Dawn Patrol","05 Jun 2015",0.353793,0,0,"Drama, Thriller","4.7/10","536","Daniel Petrie Jr.","0%","Alchemy"
"120",120,"In Transit","23 Jun 2017",0,0,0,"Documentary, News","7.7/10","76","Albert Maysles, Lynn True, David Usui, Nelson Walker III, Benjamin Wu","100%","N/A"
"123",123,"Mr. Happy Man","'01/01/2010'",0.014342,0,0,"Documentary, Short, Biography","7.2/10","31","Matt Morris",NA,"N/A"
"124",124,"De Overkant","'12/09/2015'",0.043542,0,0,"Drama, Short","7.8/10","9","Herman Wuyts",NA,"N/A"
"125",125,"The Hitch-Hiker","16 Oct 1953",0.014621,0,0,"Crime, Film-Noir, Thriller","7.0/10","4,646","Ida Lupino","100%","Acme DVD Works"
"126",126,"Plane Goofy","28 Oct 1940",0.00422,0,0,"Animation, Short, Comedy","5.6/10","12","Eddie Donnelly",NA,"N/A"
"127",127,"Crisis in Six Scenes","30 Sep 2016",0.514772,0,0,"Comedy","6.7/10","2,925","N/A",NA,NA
"128",128,"A Man Who Fell From The Sky","01 Jul 2001",0.001875,0,0,"Biography",NA,"N/A","Mark Morris",NA,"N/A"
"129",129,"Loue-moi !","05 Jul 2017",0.910194,0,0,"Comedy","6.0/10","22","Coline Assous, Virginie Schwartz",NA,"N/A"
"131",131,"Hollywood between Paranoia and Sci-Fi. The Power of Myth","06 May 2011",0.264897,118399,0,"Documentary","6.3/10","26","Clara Kuperberg, Julia Kuperberg",NA,"N/A"
"132",132,"Point of Origin","22 Jun 2002",0.503931,0,0,"Crime, Drama, Thriller","5.9/10","1,154","Newton Thomas Sigel",NA,"N/A"
"133",133,"Los irrompibles","17 Jul 1975",0.00135,0,0,"Adventure, Western, Mystery","5.8/10","46","Emilio Vieyra",NA,"N/A"
"136",136,"Da wo die Herzen schlagen","'18/05/2004'",0.036072,0,0,"Comedy, Romance","2.1/10","30","Karl Kases",NA,"N/A"
"137",137,"Design for Living","29 Dec 1933",0.353114,0,0,"Comedy, Romance","7.6/10","4,312","Ernst Lubitsch","75%","Criterion Collection"
"139",139,"The African Lion","14 Sep 1955",0.103793,0,0,"Family, Documentary","7.5/10","163","James Algar",NA,"Walt Disney Productions"
"140",140,"Ek Thi Daayan","18 Apr 2013",0.032381,0,0,"Horror, Romance, Thriller","5.7/10","3,230","Kannan Iyer",NA,"Eros Entertainment"
"141",141,"The Kids","16 Jul 2015",0.059195,0,0,"Drama","5.7/10","13","Sunny Yu",NA,"N/A"
"142",142,"As Cool as I Am","21 Jun 2013",0.267794,0,0,"Comedy, Drama","5.9/10","4,532","Max Mayer","14%","As Cool Inc."
"143",143,"The Distinguished Gentleman","04 Dec 1992",1.775844,0,46434570,"Comedy, Crime","5.9/10","13,101","Jonathan Lynn","13%","Hollywood Pictures"
"144",144,"Opus II","'31/12/1921'",0.002074,0,0,"Animation, Short","6.1/10","207","Walter Ruttmann",NA,"N/A"
"145",145,"My Neighbor's Keeper","18 Jun 2007",0.015836,0,0,"Crime, Mystery, Thriller","5.6/10","186","Walter Klenhard",NA,"N/A"
"146",146,"The Facility","23 Jun 2012",1.523794,0,0,"Horror","4.8/10","1,574","Ian Clark",NA,"Tribeca Films"
"147",147,"Jack Whitehall Live","19 Nov 2012",0.186227,0,0,"Documentary, Comedy","6.9/10","113","Ben Cavey, Brian Klein",NA,"N/A"
"148",148,"Deewane Huye Paagal","25 Nov 2005",0.404031,0,355962,"Action, Comedy, Drama","5.3/10","3,277","Vikram Bhatt",NA,"N/A"
"149",149,"Broken Highway","17 Feb 1994",0.275625,0,0,"N/A","5.9/10","23","Laurie McInnes",NA,"N/A"
"150",150,"Cirque du Soleil: Varekai","14 Jun 2003",0.008506,0,0,"Family, Fantasy, Music","8.0/10","478","Dominic Champagne, Nick Morris",NA,"N/A"
"151",151,"Hemso","19 Jan 2001",0.002063,0,0,"Comedy, Drama","4.6/10","1,734","Ömer Ugur",NA,"N/A"
"152",152,"Odd Shoe","09 Mar 2008",0.0075,0,0,"Short, Drama","6.5/10","36","Paul Cotter",NA,"N/A"
"153",153,"Behind the Spanish Lines","'02/01/1938'",0.002422,0,0,"Documentary, Short","5.0/10","8","Sidney Cole, Thorold Dickinson",NA,"N/A"
"154",154,"Kodou","'02/01/1973'",3e-06,0,0,"Short",NA,"N/A","Aya Kamata",NA,"N/A"
"155",155,"Beyond","02 Jan 2017",0.238823,0,0,"Drama, Fantasy, Mystery","7.3/10","4,172","N/A",NA,NA
"156",156,"The Gruffalo's Child","01 Dec 2011",0.842792,0,0,"Animation, Family","7.1/10","1,894","Uwe Heidschötter, Johannes Weiland",NA,"Kidtoon Films"
"158",158,"Othello","19 Jan 1996",0.439712,0,0,"Drama, Romance","6.9/10","7,935","Oliver Parker","68%","Sony Pictures Home Entertainment"
"159",159,"Snow Bride","09 Nov 2013",0.413798,0,0,"Comedy, Family, Romance","6.8/10","1,644","Bert Kish",NA,"Johnson Production Group"
"160",160,"La femme aux bottes rouges","01 Jun 1977",0.432827,0,0,"Comedy, Drama, Fantasy","6.4/10","305","Juan Luis Buñuel",NA,"N/A"
"161",161,"Duplicity","20 Mar 2009",0.007217,0,0,"Comedy, Crime, Romance","6.2/10","43,087","Tony Gilroy","65%","Universal Pictures"
"162",162,"Goldstaub","'01/01/1993'",1e-06,0,0,"Romance",NA,"N/A","Ottokar Runze",NA,"N/A"
"164",164,"Amazona","'10/03/1987'",NA,0,0,"Documentary, Drama",NA,"N/A","Clare Weiskopf, Nicolas van Hemelryck",NA,"N/A"
"165",165,"The Picture Idol","31 May 1912",0.00422,0,0,"Short, Comedy","5.9/10","12","James Young",NA,"N/A"
"166",166,"Broeders","15 Oct 2011",0.016683,0,0,"Short, Drama","7.4/10","36","Adil El Arbi, Bilall Fallah",NA,"N/A"
"168",168,"Dragonheart 3: The Sorcerer's Curse","10 Feb 2015",5.126319,0,0,"Adventure, Fantasy","5.1/10","2,521","Colin Teague",NA,"Universal Pictures"
"169",169,"Liberate i pesci!","28 Jan 2000",0.002886,0,0,"Comedy","6.3/10","149","Cristina Comencini",NA,"N/A"
"170",170,"Laurel and Hardy's Laughing 20's","01 Nov 1965",0.006695,0,0,"Comedy, Family","7.4/10","222","Robert Youngson",NA,"N/A"
"171",171,"Being Carl Williams","'22/02/2009'",0.0075,0,0,"Short","7.2/10","30","Abe Forsythe",NA,"N/A"
"173",173,"Alarm im Aquarium","'01/01/1964'",0.002063,0,0,"N/A",NA,"N/A","Franz Marischka",NA,"N/A"
"174",174,"Mysterious Castles of Clay","18 Mar 1978",1.2e-05,0,0,"Documentary","8.3/10","38","Alan Root",NA,"N/A"
"175",175,"Jet Storm","'16/09/1959'",0.024191,0,0,"Thriller","6.7/10","122","Cy Endfield",NA,"N/A"
"176",176,"Answers","09 Aug 2013",0.119003,0,0,"Short, Drama",NA,"N/A","Karen Eachus",NA,"N/A"
"177",177,"Tarzun and the Valley of Lust","'01/01/1970'",0.043869,0,0,"Adventure, Comedy","3.5/10","55","W.P. Mogul",NA,"N/A"
"179",179,"Suzanne's Diary for Nicholas","27 Mar 2005",0.093203,0,0,"Drama, Romance","6.5/10","1,071","Richard Friedenberg",NA,"Anchor Bay Entertainment"
"180",180,"Don't Break Down: A Film About Jawbreaker","11 Aug 2017",3.133614,0,0,"Documentary",NA,"N/A","Tim Irwin, Keith Schieron",NA,"N/A"
"181",181,"Mickey Cuts Up","02 Dec 1931",0.08994,0,0,"Family, Animation, Comedy","6.8/10","217","Burt Gillett",NA,"N/A"
"182",182,"I'm A Porn Star","04 Oct 2013",0.625593,0,0,"Documentary, Biography, Comedy","4.7/10","152","Charlie David",NA,"N/A"
"183",183,"Xavier","01 Oct 2003",0.254532,0,0,"N/A","6.9/10","38","Manuel Mozos",NA,"N/A"
"184",184,"Pictures from Life's Other Side","'01/01/1971'",0.1,0,0,"Documentary","5.8/10","12","Jim McBride",NA,"N/A"
"185",185,"Vessel","'02/07/1992'",9.4e-05,0,0,"Short, Horror, Sci-Fi","6.2/10","295","Clark Baker",NA,"N/A"
"186",186,"Metastasis","'20/03/1971'",0,0,0,"Short",NA,"N/A","Toshio Matsumoto",NA,"N/A"
"187",187,"Schneider Wibbel","13 Jun 1959",0.005049,0,0,"Comedy","8.2/10","12","Peter Hamel",NA,"N/A"
"188",188,"Perch of the Devil","06 Mar 1927",0.001875,0,0,"Drama",NA,"N/A","King Baggot",NA,"N/A"
"189",189,"A is For Alex","08 Mar 2014",0.022949,0,0,"Comedy, Drama, Family","7.9/10","16","Alex Orr",NA,"N/A"
"190",190,"Me'Ahorei Hasoragim II","'02/01/1992'",7.2e-05,0,0,"Drama","7.3/10","10","Uri Barbash",NA,"N/A"
"191",191,"Two","18 Dec 2002",0.005754,0,0,"Adventure, Drama, Fantasy","8.7/10","1,195,818","Peter Jackson","96%","New Line Cinema"
"192",192,"Rosemary's Baby","12 Jun 1968",3.196893,3200000,33395426,"Drama, Horror","8.0/10","151,791","Roman Polanski","99%","Paramount Pictures"
"193",193,"Buds For Life","03 Aug 2008",0.009924,0,0,"Comedy","6.1/10","48","Gabriel Bologna",NA,"Maverick Entertainment"
"194",194,"Sarah Millican: Chatterbox Live","21 Nov 2011",0.021111,0,0,"Documentary, Comedy","7.7/10","89","Brian Klein",NA,"N/A"
"195",195,"Dongata","08 May 2015",0.220437,0,0,"Comedy","6.2/10","54","Vamsy Krishna",NA,"N/A"
"196",196,"Numbers & Friends","11 Sep 2013",0.104268,0,0,"Short, Drama, Sport","6.0/10","8","Alexander Carson",NA,"N/A"
"197",197,"Lead with Your Heart","19 Sep 2015",0.23759,0,0,"Drama, Romance","5.8/10","233","Bradley Walsh",NA,"LWH77 Productions"
"198",198,"Love After Love","15 Apr 1992",0.024884,0,0,"Drama, Romance","6.2/10","280","Diane Kurys",NA,"N/A"
"199",199,"The Boy She Met Online","24 Aug 2010",0.035873,0,0,"Thriller","4.4/10","824","Curtis Crawford",NA,"N/A"
"201",201,"The Golden Years","'01/01/1960'",0.002063,0,0,"Drama","7.1/10","176","Davor Zmegac",NA,"N/A"
"202",202,"There She Is!!","'09/12/2008'",0.007875,0,0,"Adult","7.2/10","8","Scotty Fox",NA,"N/A"
"203",203,"Import","21 Jan 2016",0.244668,0,0,"Short, Biography, Comedy","7.6/10","26","Ena Sendijarevic",NA,"N/A"
"204",204,"O Casamento","'01/01/1976'",0.000322,0,0,"Family, Comedy","5.1/10","248","José Alvarenga Jr.",NA,"N/A"
"205",205,"Ed Sheeran: Jumpers for Goalposts","16 Aug 2015",0.128844,0,0,"Documentary, Music","8.7/10","313","Paul Dugdale",NA,"JA Digital"
"206",206,"Grab and Run","11 Nov 2013",0,0,0,"Short, Crime",NA,"N/A","Robert LaCommare",NA,"N/A"
"207",207,"Love","30 Oct 2015",0.055448,0,0,"Drama, Romance","6.0/10","25,486","Gaspar Noé","41%","Alchemy"
"208",208,"The Cat in the Hat Knows a Lot About Camping!","25 Jul 2016",6e-05,0,0,"Animation","5.2/10","5","Paul Hunt",NA,"N/A"
"209",209,"Ein Albtraum von 3 1/2 Kilo","23 Aug 2002",0.006641,0,0,"Comedy","5.7/10","23","Uwe Janson",NA,"N/A"
"210",210,"The Constant Nymph","10 Jul 1943",0.163556,0,0,"Drama, Music, Romance","7.0/10","916","Edmund Goulding",NA,"Warner Bros."
"212",212,"The Last 15","31 Mar 2007",0.069546,0,0,"Short","5.5/10","82","Antonio Campos",NA,"N/A"
"213",213,"Uramisten","02 May 1984",2.4e-05,0,0,"Drama","7.4/10","72","Péter Gárdos",NA,"N/A"
"215",215,"Two-Bit Waltz","19 Apr 2014",0.500006,0,0,"Comedy, Drama, Family","4.8/10","334","Clara Mamet",NA,"Monterey Media"
"216",216,"Katie Fforde - Diagnose Liebe","12 Feb 2012",0.214839,0,0,"Romance","5.9/10","16","Helmut Metzger",NA,"N/A"
"217",217,"Recommended by Enrique","13 Jun 2014",0.027556,0,0,"Adventure, Crime, Western","4.8/10","8","Rania Attieh(co-director), Daniel Garcia(co-director)",NA,"N/A"
"218",218,"Modesty Blaise","04 Jul 1966",2.526125,0,0,"Action, Adventure, Comedy","5.2/10","2,015","Joseph Losey","44%","Twentieth Century Fox Home Entertainment"
"219",219,"Not Since You","14 May 2010",0.069632,0,0,"Drama, Romance","5.8/10","1,484","Jeff Stephenson",NA,"WARNER BROTHERS PICTURES"
"221",221,"Lou Reed Remembered","'14/12/2013'",0.020625,0,0,"Documentary","6.2/10","6","Chris Rodley",NA,"N/A"
"222",222,"The Spirit of '43","07 Jan 1943",0.889023,0,0,"Animation, Short, Documentary","5.5/10","408","Jack King",NA,"N/A"
"224",224,"The Road To Tophet","07 Mar 2015",0.078953,0,0,"Crime, Drama, Thriller","8.0/10","20","Steve Schmidt",NA,"N/A"
"227",227,"Below Zero","26 Apr 1930",0.031606,0,0,"Short, Comedy","7.4/10","1,062","James Parrott",NA,"N/A"
"228",228,"Abie's Irish Rose","27 Dec 1946",0.011541,0,0,"Comedy, Drama, Romance","5.4/10","35","A. Edward Sutherland",NA,"N/A"
"229",229,"The Sound of Belgium","01 Nov 2012",0.056201,0,0,"Documentary, History, Music","8.1/10","303","Jozef Deville",NA,"N/A"
"230",230,"Jackson Pollock 51","'19/07/1951'",0.001875,0,0,"Documentary, Short, Biography","6.1/10","9","N/A",NA,"N/A"
"231",231,"Kickstart","01 Dec 2011",0.244004,0,0,"N/A",NA,"N/A","N/A",NA,"N/A"
