"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"2641","Streetsweeper","15 Jul 2007",0.032388,0,0,"Drama","5.5/10","11","Neil Mansfield",NA
"2642","Tijd om gelukkig te zijn","'04/01/1982'",2e-06,0,0,"Drama","5.8/10","11","Frans Buyens",NA
"2643","m","31 Aug 1931",0.005626,0,0,"Crime, Drama, Mystery","8.4/10","109,314","Fritz Lang","100%"
"2644","Exit Strategy","10 Feb 2012",0.155472,0,0,"Comedy, Romance","3.5/10","296","Michael Whitton",NA
"2645","American Dreams #4: Courtes","'01/01/2009'",NA,0,0,NA,NA,NA,NA,NA
"2646","Caligola","28 May 2004",2.499932,17500000,23438120,"Drama",NA,"N/A","Flavio SciolË",NA
"2647","Kong Haakons Ankomst til Trondhjem","'03/11/1906'",0.005427,0,0,"Documentary, Short",NA,"N/A","Peter Elfelt",NA
"2648","Late One Night","'29/09/2001'",0.001887,0,0,"Short, Drama","6.5/10","127","Dave Christiano",NA
"2649","Tracey Ullman Takes on New York","'09/10/1993'",0.000137,0,0,NA,NA,NA,NA,NA
"2650","Pinoy Power 2","'15/08/2009'",0.007506,0,0,NA,NA,NA,NA,NA
"2651","A Small Town Idol","'12/02/1921'",0.109085,0,0,"Short, Comedy","5.7/10","15","N/A",NA
"2652","Taking Lives","19 Mar 2004",2.265242,45000000,65470529,"Crime, Mystery, Thriller","6.2/10","68,845","D.J. Caruso","22%"
"2653","Queen","07 Mar 2014",0.180323,0,0,"Adventure, Comedy, Drama","8.3/10","47,784","Vikas Bahl",NA
"2654","Alles Sal Regkom!","25 Jul 1951",0.009549,0,0,"Comedy",NA,"N/A","Hyman Kirstein",NA
"2655","Enrique Blanco","'01/01/1973'",0.000216,0,0,"Drama",NA,"N/A","Jeronimo Mitchell",NA
"2656","Anatomy of the Assassin","23 Mar 2001",0.25,0,0,"N/A",NA,"N/A","LaMonte Fritts",NA
"2657","Cheap","'01/06/2005'",0.010179,10,0,"Crime, Drama, Horror","7.1/10","156","Brad Jones",NA
"2658","Os Flagelados do Vento Leste","'01/01/1988'",0.000486,0,0,"N/A",NA,"N/A","Antonio Faria",NA
"2659","Christina Aguilera: VH1 Storytellers","'18/02/2016'",0.061874,0,0,NA,NA,NA,NA,NA
"2660","Bonnie Tyler - Bonnie Tyler On Tour","'07/01/2013'",0.02956,0,0,NA,NA,NA,NA,NA
"2661","His Mistake","14 Feb 1912",0.001875,0,0,"Drama, Short",NA,"N/A","Lloyd B. Carleton",NA
"2662","Love-Struck","01 Jun 1997",0.135617,0,0,"Comedy, Romance, Drama","5.6/10","104","Larry Peerce",NA
"2663","The Family Secret","24 Oct 1951",0.28142,0,0,"Crime, Drama","6.3/10","76","Henry Levin",NA
"2664","Shell","15 Mar 2013",0.358681,0,0,"Drama","6.4/10","1,176","Scott Graham","89%"
"2665","Partners","'05/06/2009'",0.00753,0,0,"Comedy, Romance","6.3/10","3,771","N/A",NA
"2666","LOVE: As You Like It","01 Dec 2012",0.015011,0,0,"Comedy, Romance","7.8/10","38","Marika Sonja Cotter",NA
"2667","La Diagonale Du Fou","19 Aug 2003",0.400505,0,0,"Documentary",NA,"N/A","Eric Axelson",NA
"2668","Creepy Campfire Stories","19 Oct 2015",0.080433,0,0,"Horror",NA,"N/A","Pascal Dieckmeyer, Daniel Konze, Alex Lotz",NA
"2669","Djinns","14 Oct 2016",0.346446,0,0,"Documentary","7.5/10","8","Jordi Esteva",NA
"2670","Hayabusa","01 Oct 2011",0.314244,0,0,"Adventure","6.1/10","71","Yukihiko Tsutsumi",NA
"2671","The Charnel House","04 Nov 2016",0.00375,0,0,"Horror, Thriller","4.7/10","622","Craig Moss",NA
"2672","Serious Games 1â€“4","'01/01/2010'",0.011015,0,0,NA,NA,NA,NA,NA
"2673","PASSER PASSER","'20/01/2014'",0.022517,0,0,"Animation, Short, Musical","5.9/10","22","Louis Morton",NA
"2674","An Exercise in Discipline: Peel","13 May 1986",0.00428,0,0,"Short","6.4/10","642","Jane Campion",NA
"2675","Jake Speed","30 May 1986",0.003785,0,1,"Action, Adventure, Comedy","5.3/10","626","Andrew Lane",NA
"2676","The Great Race","01 Jul 1965",1.87924,12000000,25333333,"Action, Adventure, Comedy","7.3/10","13,330","Blake Edwards","74%"
"2677","Firestarter","11 May 1984",2.53872,15000000,17080167,"Action, Horror, Sci-Fi","6.0/10","24,264","Mark L. Lester","39%"
"2678","Natasha","26 Apr 2001",0.3726,0,0,"Drama, Comedy, Crime","6.6/10","1,130","Ljubisa Samardzic",NA
"2679","Hiphopmovie.Com: Vol. 1","'01/01/2002'",0.00375,0,0,NA,NA,NA,NA,NA
"2680","Der Preis der Wahrheit","17 Dec 2003",0.004334,0,0,"Drama","3.5/10","6","Christine Kabisch",NA
"2681","Leidi","01 May 2014",0.135626,0,0,"Short, Drama","7.5/10","35","SimÛn Mesa Soto",NA
"2682","Son of a Gun","11 Dec 2014",0.004,0,0,"Action, Crime, Drama","6.5/10","21,464","Julius Avery","63%"
"2683","Interceptors","09 May 2008",0.014577,0,0,"Documentary","7.8/10","70","N/A",NA
"2684","Two Guys","09 Jul 2004",0.008657,0,0,"Action, Comedy","6.9/10","330","Hun-Su Park",NA
"2685","Salute","17 Jul 2008",0.002111,0,0,"Documentary, Sport","7.6/10","301","Matt Norman","100%"
"2686","Eric Antoine & Friends dÃ©coiffent Montreux","'05/12/2011'",0.013902,0,0,NA,NA,NA,NA,NA
"2687","A Mother's Love","05 Jun 2002",0.042876,0,0,"Family","7.0/10","258","Kamal Tabrizi",NA
"2688","Rise of the Black Bat","01 Apr 2012",0.031221,0,0,"Action, Sci-Fi","1.3/10","484","Scott Patrick",NA
"2689","Temptress","02 Oct 2010",0.387079,0,0,"Horror, Thriller","4.4/10","216","Lawrence Lanoff",NA
"2690","æ©ŸBoyå°èå?êä?‹çœŸåÅ‡å¨Åé?ç","'12/06/1992'",0.070896,0,0,NA,NA,NA,NA,NA
"2691","Everything Is Rhythm","07 Aug 1940",0.005264,0,0,"Musical","7.1/10","18","Alfred J. Goulding",NA
"2692","Which Is Witch?","02 May 1958",0.001913,0,0,"Animation, Short, Romance","5.5/10","20","Seymour Kneitel",NA
"2693","?êÑ‚Ñ‚Ñ€?°?ºÑ†?¸???? ?—?°Ñ…???°Ñ‚","'06/06/2008'",0.029091,0,0,NA,NA,NA,NA,NA
"2694","Entente cordiale","20 Sep 1912",0.001875,0,0,"Short, Comedy, Fantasy","6.7/10","43","Max Linder",NA
"2695","Dealer","15 Oct 2004",0.231787,0,0,"Drama","7.1/10","808","Benedek Fliegauf",NA
"2696","Racer Legend","25 Nov 2011",0.026458,0,0,"Action","4.8/10","9","Zhixia Han, Yee Man Law",NA
"2697","à¸•à?‰à¸¡à¸¢à¸?à¸Åà¸¸à?‰à¸‡ 2","'23/10/2013'",3.481614,0,3302463,NA,NA,NA,NA,NA
"2698","The Technology of Souls","'01/01/1981'",0.75,0,0,NA,NA,NA,NA,NA
"2699","Ridin' the Trail","27 Jul 1940",0.011005,0,0,"Music, Western",NA,"N/A","Bernard B. Ray",NA
"2700","Intrusion: Disconnected","03 Oct 2016",0.030938,0,0,"Horror, Thriller",NA,"N/A","Kyle Cates",NA
"2701","Dumbbells","10 Jan 2014",0.292541,0,0,"Comedy","3.5/10","606","Christopher Livingston","14%"
"2702","Our Mr. Sun","19 Nov 1956",0.019182,0,0,"Animation","7.5/10","130","Frank Capra, William T. Hurtz",NA
"2703","The Fourth Annual 'On Cinema' Oscar Special","28 Feb 2016",0.056253,0,0,"Comedy","8.9/10","23","Eric Notarnicola",NA
"2704","Il gioko","'01/01/1989'",0.045,0,0,NA,NA,NA,NA,NA
"2705","The Signal","10 Jul 2014",1.999506,4000000,600896,"Sci-Fi, Thriller","6.1/10","52,821","William Eubank","60%"
"2706","Confetti","05 May 2006",0.485301,0,0,"Comedy, Music, Romance","5.8/10","4,603","Debbie Isitt","57%"
"2707","The Comedian","03 Feb 2017",2.759062,15000000,0,"Comedy","5.7/10","3,472","Taylor Hackford","25%"
"2708","Never Sock a Baby","03 Nov 1939",0.01455,0,0,"Animation, Comedy, Short","6.6/10","55","Dave Fleischer, William Henning",NA
"2709","Hollywood Man","06 Mar 1978",0.042786,0,0,"Action, Crime, Drama","5.2/10","156","Jack Starrett",NA
"2710","Kanjon opasnih igara","'01/01/1998'",0.014264,0,0,"Adventure","6.9/10","43","Vladimir Tadej",NA
"2711","Sin Ruta","10 Aug 2012",0.111123,0,0,"Short, Drama","7.1/10","14","Luis Fernando Midence",NA
"2712","Costa!","01 Mar 2001",0.003458,2498210,4810190,"Comedy, Romance","4.5/10","2,190","Johan Nijenhuis",NA
"2713","My Friend's Rubber Ducky","08 Apr 2016",0.069742,0,0,"Comedy",NA,"N/A","Josh Hyde",NA
"2714","The Kissing Bandit","01 Jan 1949",0.006987,0,0,"Comedy, Musical, Western","5.0/10","359","Laslo Benedek",NA
"2715","Labirynt","13 Feb 1989",0.006041,0,0,"Horror","6.2/10","20","Andrzej Stefan Kaluszko",NA
"2716","ãƒ?ã‚?ãƒ–ãƒªãƒƒã‚¸ãÅ®ç?¸","'17/09/2011'",0.020705,0,0,NA,NA,NA,NA,NA
"2717","The Sleuth","30 Jun 1925",0.005231,0,0,"Comedy, Short","5.9/10","65","Joe Rock, Harry Sweet",NA
"2718","Schizoid","01 Sep 1980",0.034691,0,0,"Drama, Horror, Mystery","5.0/10","523","David Paulsen",NA
"2719","Cars 3","16 Jun 2017",12.566196,175000000,153302564,"Animation, Adventure, Comedy","7.1/10","16,286","Brian Fee","68%"
"2720","King's X: Live Love in London","01 Nov 2010",0.012374,0,0,"Music",NA,"N/A","N/A",NA
"2721","Charlotte Church Enchantment","'18/09/2001'",0.001909,0,0,"Documentary, Music","8.0/10","28","N/A",NA
"2722","Cleopatra","31 Jul 1963",2.117736,31115000,71000000,"Biography, Drama, History","7.0/10","23,548","Joseph L. Mankiewicz, Rouben Mamoulian, Darryl F. Zanuck","56%"
"2723","Embrasse-moi","15 Mar 1989",0.144395,0,0,"Drama","6.6/10","31","MichËle Rosier",NA
"2724","Caverna Luminosa","'01/01/2011'",0.01125,0,0,NA,NA,NA,NA,NA
"2725","Mang zhong","'14/10/2005'",0.006187,0,0,NA,NA,NA,NA,NA
"2726","Lions for Breakfast","07 May 1975",8e-05,0,0,"Comedy","5.6/10","14","William Davidson",NA
"2727","No Nukes","25 Feb 1983",8.4e-05,0,0,"Documentary, Music","6.6/10","121","Danny Goldberg, Anthony Potenza, Julian Schlossberg",NA
"2728","Airfoiled","'NaT'",0,0,0,"Short, Adventure, Comedy","8.2/10","6","Michael Matzur",NA
"2729","Fortunata y Jacinta","07 May 1980",0.003,0,0,"N/A","8.2/10","79","N/A",NA
"2730","Johnny Thunders and the Heartbreakers: Dead or Alive","'28/11/2006'",0.012924,0,0,NA,NA,NA,NA,NA
"2731","Mrs. Harris","25 Feb 2006",0.346359,0,0,"Drama","6.0/10","1,326","Phyllis Nagy","33%"
"2732","Ernani","18 Dec 1982",0.013125,0,0,"Drama, Music","7.6/10","18","Preben Montel",NA
"2733","The Law Rides Again","06 Aug 1943",0.107796,0,0,"Western","6.0/10","78","Alan James",NA
"2734","Imaginary","13 Aug 2004",3e-06,0,0,"Animation, Comedy, Family","7.7/10","14,351","N/A",NA
"2735","ãÅ‚ãÅ„æ?œå®Ÿ","'20/09/2010'",0.009376,0,0,NA,NA,NA,NA,NA
"2736","Night at the Late Nite","'NaT'",0,0,0,"Short, Comedy, Horror",NA,"N/A","Nathan Hoffman",NA
"2737","Filme da Treta","12 Oct 2006",0.126196,0,0,"Comedy","6.1/10","998","JosÈ Sacramento",NA
"2738","Nowhere Fast","12 Feb 2004",0.015,0,0,"N/A","4.7/10","31","CinquÈ Lee",NA
"2739","Relatively Free","21 Dec 2016",0.44342,0,0,"Documentary, Short","8.5/10","6","Alex Winter",NA
"2740","Wilde Wellen - Nichts bleibt verborgen","25 Aug 2011",0.025344,0,0,"Drama","4.3/10","10","N/A",NA
"2741","Scrooge","19 Dec 1970",0.776475,0,0,"Drama, Family, Fantasy","7.5/10","7,049","Ronald Neame","75%"
"2742","Deserto Feliz","'23/04/2007'",0.043497,0,0,NA,NA,NA,NA,NA
"2743","Hey Arnold! The Jungle Movie","'23/11/2017'",0.574831,0,0,NA,NA,NA,NA,NA
"2744","The Week That Changed The World","'14/10/2004'",0.00375,0,0,"Documentary, Biography, History",NA,"N/A","Kevin McLaughlin",NA
"2745","Fast & Furious 9","19 Apr 2019",1.686157,0,0,"Action, Adventure, Crime",NA,"N/A","N/A",NA
"2746","Goodbye Blue Sky","13 Mar 2017",0.184593,0,0,"Short, Action, Drama","7.0/10","16","Brandon Zuck",NA
"2747","Mitfahrgelegenheit","07 Jun 2008",0.011537,0,0,"Comedy","5.3/10","34","Alexander Schulz",NA
"2748","Cry in the Wild: The Taking of Peggy Ann","06 May 1991",0.020802,0,0,"Crime, Drama","6.6/10","220","Charles Correll",NA
"2749","Slightly Married","15 Oct 1932",0.014537,0,0,"Comedy, Romance","7.0/10","17","Richard Thorpe",NA
"2750","Mix Tape","06 Sep 2003",0.011474,0,0,"Comedy","8.4/10","10","Jefferson Root",NA
"2751","The Installment Collector","20 Apr 1929",0.018698,0,0,"Short, Comedy","5.2/10","9","S. Jay Kaufman",NA
"2752","?ù?µ?·???°???º?° ÑƒÑ‡?¸Ñ‚ÑÅÑè","'01/01/1961'",0.004008,0,0,NA,NA,NA,NA,NA
"2753","A Journey with Korean Masters","21 Mar 2013",0.10125,0,0,"N/A",NA,"N/A","Ji-yeong Jeong, Doo-yong Lee, Jang-ho Lee, Cheol-su Park",NA
"2754","Gloria","09 May 2013",0.057686,1000,0,"Comedy, Drama, Romance","6.7/10","6,529","Sebasti·n Lelio","99%"
"2755","Moving Target","08 Feb 1988",0.004138,0,0,"Crime, Drama, Mystery","5.9/10","351","Chris Thomson",NA
"2756","Taxi 3","29 Jan 2003",3.41387,14500000,65497208,"Action, Comedy, Crime","5.7/10","33,398","GÈrard Krawczyk",NA
"2757","Kansas Raiders","15 Nov 1950",0.212427,0,0,"Western","6.2/10","622","Ray Enright",NA
"2758","In Georgien","'01/04/1988'",0.002,0,0,"Documentary",NA,"N/A","Thomas Goersch",NA
"2759","Riddle","10 Jan 2013",1.779309,7000000,0,"Mystery, Thriller","4.2/10","1,758","John O. Hartman, Nicholas Mross",NA
"2760","More Than God","01 Aug 2015",9e-06,0,0,"Short, Comedy, Drama",NA,"N/A","Kev Cahill",NA
"2761","La Terreur des Batignolles","'01/01/1931'",0.001894,0,0,"Short",NA,"N/A","Henri-Georges Clouzot",NA
"2762","Sie tÃ¶tete in Ekstase","'10/12/1971'",0.426369,0,0,NA,NA,NA,NA,NA
"2763","Walter Trout and the Radicals: Relentless","'01/01/2003'",0.00375,0,0,NA,NA,NA,NA,NA
"2764","ãƒ•ã‚¡ã‚?ãƒ?ãƒ«ãƒ»ã‚¸ãƒ£ãƒƒã‚¸ãƒ¡ãƒ?ãƒˆ","'02/06/2012'",0.055938,0,0,NA,NA,NA,NA,NA
"2765","Lillie & Leander: A Legacy of Violence","27 Apr 2007",0.005625,0,0,"Documentary","8.6/10","10","Jeffrey Morgan",NA
"2766","Catfish Tour of Europe","'NaT'",3e-06,0,0,NA,NA,NA,NA,NA
"2767","Roy Lichtenstein","'11/07/1979'",4e-04,0,0,"Documentary","7.1/10","22","Chris Hunt",NA
"2768","This Is Orson Welles","20 May 2015",0.058013,0,0,"Documentary","7.1/10","72","Clara Kuperberg, Julia Kuperberg",NA
"2769","Glas","29 Apr 1964",0.001929,0,0,"Documentary, Short","7.8/10","735","Bert Haanstra",NA
"2770","1973 revoluciones por minuto","01 Aug 2009",0.008471,0,6,"Documentary, Drama, History",NA,"N/A","Fernando Valenzuela",NA
"2771","Mulholland Drive","19 Oct 2001",7.187,15000000,20117339,"Drama, Mystery, Thriller","8.0/10","260,053","David Lynch","83%"
"2772","UFC Fight Night 101: Whittaker vs. Brunson","'27/11/2016'",0.115246,0,0,NA,NA,NA,NA,NA
"2773","Austin 3:16 Uncensored","'01/01/1998'",0.002382,0,0,"Sport","8.2/10","62","N/A",NA
"2774","Garabatos: Manolete","'27/01/1943'",0.001875,0,0,"Animation",NA,"N/A","Enrique Diban",NA
"2775","Chicago Filmmakers on the Chicago River","01 Apr 2004",8e-05,0,0,"Documentary","7.7/10","33","D.P. Carlson",NA
"2776","Andartu Terlampau 21 Hari Mencari Suami","20 May 2010",0.009941,0,0,"Comedy",NA,"N/A","Din C.J.",NA
"2777","La grande java","13 Jan 1971",0.275589,0,0,"Comedy","6.0/10","50","Philippe Clair",NA
"2778","What About Bob?","17 May 1991",2.636901,35000000,63710000,"Comedy","7.0/10","53,547","Frank Oz","83%"
"2779","VeggieTales: Silly Little Thing Called Love","'01/07/2012'",0.015,0,0,NA,NA,NA,NA,NA
"2780","Picture Perfect","01 Aug 1997",0.524623,19000000,44332015,"Comedy, Drama, Romance","5.5/10","16,712","Glenn Gordon Caron","48%"
"2781","Dishkiyaoon","28 Mar 2014",0.053256,0,0,"Action, Thriller","5.3/10","816","Sanamjit Singh Talwar",NA
"2782","Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi","'21/10/1992'",0,0,0,NA,NA,NA,NA,NA
"2783","After the Circus","'01/01/2013'",0.025406,0,0,"Short",NA,"N/A","John W. Kellette",NA
"2784","Immortal: The Seventh Date of Blashyrkh","'06/08/2010'",0.009375,0,0,NA,NA,NA,NA,NA
"2785","Silverlake Life: The View from Here","01 Jan 1993",6e-06,0,0,"Documentary","8.1/10","345","Peter Friedman, Tom Joslin",NA
"2786","The Last Home Run","'15/08/1996'",0.146259,0,0,"Family, Fantasy, Sport","6.1/10","145","Bob Gosse",NA
"2787","Mousey","09 Mar 1974",0.003287,0,0,"Action, Thriller, Drama","6.2/10","154","Daniel Petrie",NA
"2788","Duke of Earl","'13/07/1979'",2.188529,0,0,NA,NA,NA,NA,NA
"2789","Secrets & Lies","28 Feb 1997",1.566086,4500000,13417292,"Drama","8.0/10","30,588","Mike Leigh","94%"
"2790","The Meanest Man in Texas","'26/04/2017'",0.388394,0,0,"Biography, Drama, History","9.7/10","29","Justin Ward",NA
"2791","Constance","'30/05/1985'",4.5e-05,0,0,"Adult","3.6/10","146","Knud Vesterskov",NA
"2792","The Lifter Upper","'01/01/2009'",0.0075,0,0,"Animation, Short, Family",NA,"N/A","Micah Chambers-Goldberg",NA
"2793","Everybody Street","06 Aug 2016",0.02588,0,0,"Documentary, Biography, History","7.7/10","445","Cheryl Dunn",NA
"2794","Mystery Of The Necronomicon","08 May 2001",0.284076,0,0,"Animation, Horror, Thriller","6.3/10","52","Yoshitaka Makino, Hideki Takayama",NA
"2795","Mari","18 Jan 2002",NA,0,0,"Animation, Drama, Fantasy","6.7/10","734","Seong-gang Lee","50%"
"2796","Mission of Danger","01 Mar 1960",0.036701,0,0,"Adventure, Western, War","5.2/10","53","Jacques Tourneur, George Waggner",NA
"2797","La provinciale","21 Jan 1981",0,0,0,"Drama","6.7/10","133","Claude Goretta",NA
"2798","Subhuman","01 Jan 2016",0.00375,0,0,"Short, Comedy, Drama",NA,"N/A","Jasmin Baumgartner",NA
"2799","Kunjali Marakkar","'NaT'",2e-06,0,0,"N/A",NA,"N/A","S.S. Rajan",NA
"2800","Ganga Maya","15 May 1984",0,0,0,"N/A",NA,"N/A","Ludovic Segarra",NA
"2801","Ober zahlen","27 Jun 1957",0.02615,0,0,"N/A","6.5/10","65","E.W. Emo",NA
"2802","Karl Hess: Toward Liberty","01 Oct 1980",0.0195,0,0,"Documentary, Short, Biography","7.2/10","32","Roland HallÈ, Peter W. Ladue",NA
"2803","Nalaik","'05/05/2005'",0.007632,0,0,"Action, Comedy, Crime","7.2/10","25","Ravi Nishand",NA
"2804","Poslednji krug u Monci","'01/01/1989'",0.029622,0,0,"Action, Thriller","7.9/10","974","Aleksandar Boskovic",NA
"2805","Darlene Zschech: Revealing Jesus","'25/06/2013'",0.01875,0,0,NA,NA,NA,NA,NA
"2806","Eszkimo asszony fazik","31 May 1984",9.3e-05,0,0,"Drama","7.1/10","198","J·nos Xantus",NA
"2807","MejÃ»","'19/08/1960'",0.002219,0,0,NA,NA,NA,NA,NA
"2808","Malkat Hakvish","14 Jun 1978",1e-06,0,0,"Drama","7.0/10","11","Menahem Golan",NA
"2809","El circuito de RomÃ¡n","'12/09/2012'",0.016499,0,0,NA,NA,NA,NA,NA
"2810","Trepsi - La Granja","'21/03/2005'",0.00375,0,0,NA,NA,NA,NA,NA
"2811","Mondo Collecto","18 Sep 2006",0.005625,4,0,"Documentary","7.1/10","9","Raymond P. Whalen",NA
"2812","Empty Spaces","06 Jul 2010",0.020189,0,0,"Short, Drama","7.7/10","16","David Roncin",NA
"2813","The Painted Lady","24 Oct 1912",0.019884,0,0,"Short, Drama","6.1/10","305","D.W. Griffith",NA
"2814","Pirates of the Caribbean: Tales of the Code: Wedlocked","18 Oct 2011",0.213087,0,0,"Short, Action, Adventure","6.8/10","173","James Ward Byrkit",NA
"2815","Betty Co-Ed","01 Aug 1931",0.002191,0,0,"Animation, Short, Comedy","6.3/10","30","Dave Fleischer",NA
"2816","Il pugile e la ballerina","17 Apr 2007",0.005625,0,0,"Drama","4.5/10","11","Francesco Suriano",NA
"2817","Casey at the Bat","15 Aug 1946",0.010512,0,0,"Animation, Short, Comedy","7.1/10","393","Jack Kinney",NA
"2818","Fahtum pandinsoong","'12/02/2013'",0.016908,0,0,NA,NA,NA,NA,NA
"2819","Felix Austria!","27 Apr 2013",1e-06,0,0,"Documentary, Biography, History","6.4/10","13","Christine Beebe",NA
"2820","Tim Allen: Rewires America","07 Dec 1991",8e-06,0,0,"Documentary, Comedy","6.4/10","47","Ellen Brown",NA
"2821","The Count Takes the Count","22 Feb 1936",0.002813,0,0,"Comedy, Short","7.3/10","26","Charley Chase, Harold Law",NA
"2822","LBJ","16 Apr 2015",0.002838,0,0,"Short, Documentary","6.8/10","219","Santiago ¡lvarez",NA
"2823","Nothing Sacred","26 Nov 1937",0.443363,0,0,"Comedy, Drama, Romance","7.4/10","4,810","William A. Wellman","100%"
"2824","La Confiture de carottes","01 Mar 2014",0.033932,0,0,"Animation, Short, Family",NA,"N/A","Anne Viel",NA
"2825","A Lesson Before Dying","22 May 1999",2.177658,0,0,"Drama","6.9/10","883","Joseph Sargent",NA
"2826","Halli & Laddi - HÃ?tt'aÃ° telja","'01/01/2003'",0.006141,0,0,NA,NA,NA,NA,NA
"2827","A Ticket Home","'01/01/1982'",3.6e-05,0,0,NA,NA,NA,NA,NA
"2828","Sambandh","07 Mar 1969",0.001875,0,0,"Drama, Family","5.6/10","10","Ajoy Biswas",NA
"2829","Ken Park","03 Apr 2003",2.557589,1300000,447741,"Drama","5.9/10","26,094","Larry Clark, Edward Lachman","43%"
"2830","Overland to Deadwood","25 Sep 1942",0.019917,0,0,"Western","4.6/10","5","William Berke",NA
"2831","Obsolescence","29 Apr 2011",0,0,0,"Short, Thriller","8.3/10","10","Jakob Bilinski",NA
"2832","Las musiqueras","10 Mar 1983",0.000243,0,0,"Comedy, Drama",NA,"N/A","Federico Curiel",NA
"2833","El guardiÃ¡n del paraÃ?so","'23/05/1955'",0.004119,0,0,NA,NA,NA,NA,NA
"2834","Straight to the Heart","'16/03/2016'",0.064117,0,0,"Comedy, Romance","6.3/10","7","Eric Vaterlaus",NA
"2835","Mulberry to Rome","15 Dec 2016",0.201927,0,0,"Comedy",NA,"N/A","Anthony G. Cohen",NA
"2836","womannightfilm","'01/01/2015'",0.030003,0,0,NA,NA,NA,NA,NA
"2837","The Armor of Light","30 Oct 2015",0.298215,0,0,"Documentary, News","6.4/10","109","Abigail Disney, Kathleen Hughes(co-director)","96%"
"2838","Mackinnon & Saunders: A Model Studio","'16/06/2014'",0.026955,0,0,NA,NA,NA,NA,NA
"2839","Casino","22 Nov 1995",4.353687,52000000,116112375,"Crime, Drama","8.2/10","365,673","Martin Scorsese","80%"
"2840","Batgirl","'NaT'",0.808604,0,0,"Short","7.0/10","185","N/A",NA
"2841","A poquito es noche","'02/01/2015'",0.030889,0,0,"Documentary",NA,"N/A","Paula Andrea Murcia",NA
"2842","King Kung Fu","15 Oct 2016",0.001708,0,0,"Action, Comedy","6.0/10","351","Lance D. Hayes",NA
"2843","King of the Khyber Rifles","22 Dec 1953",0.003812,0,0,"Adventure, Drama, History","6.5/10","489","Henry King",NA
"2844","Canciones de la Granja","'NaT'",3.6e-05,0,0,NA,NA,NA,NA,NA
"2845","The Man Who Knew Infinity","29 Apr 2016",8.726065,0,11472454,"Biography, Drama","7.2/10","32,115","Matt Brown","61%"
"2846","JFK: A Presidency Revealed","16 Nov 2003",0.006186,0,0,"Documentary","8.7/10","47","N/A",NA
"2847","Ostanniy bunker","'01/01/1991'",0,0,0,"Drama, History, War",NA,"N/A","Vadim Ilyenko",NA
"2848","The Perfect Candidate","22 Aug 2004",0.051516,0,0,"Comedy, Short","7.7/10","22","Ben Rock",NA
"2849","Souvenir","21 Dec 2016",7e-06,0,0,"Drama, Music, Romance","6.1/10","356","Bavo Defurne","73%"
"2850","Girl on the Run","15 Dec 1953",0.223965,0,0,"Crime, Mystery","5.6/10","56","Arthur J. Beckhard, Joseph Lee",NA
"2851","Die letzten Tage der Menschheit","03 Nov 1968",0.006326,0,0,"N/A","8.4/10","11","Walter Davy, Leopold Lindtberg",NA
"2852","Decline and Fall of a Birdwatcher","26 Jan 1969",0.074811,0,0,"Comedy","5.9/10","92","John Krish",NA
"2853","Nexus","09 Aug 2011",0.018222,1200000,0,"Thriller","7.0/10","65","Neil Coombs",NA
"2854","Huk!","09 Aug 1956",0.305067,0,0,"Action, Drama, Romance","5.8/10","61","John Barnwell",NA
"2855","Jimi Hendrix: Voodoo Child","18 Sep 2010",0.027557,0,0,"Documentary, Biography, Music","7.2/10","263","Bob Smeaton",NA
"2856","Lunch Date","25 Apr 2013",0.016878,0,0,"Short, Comedy, Romance","7.6/10","112","Sasha Collington",NA
"2857","ÎŒÏÅÎ?Î± Î¡Î?Î?Î± ÏƒÏ„Î·Î? Î±ÏÅÎ?Î?Î±","'NaT'",0,0,0,NA,NA,NA,NA,NA
"2858","Alive","15 Jan 1993",1.888335,32000000,36733909,"Adventure, Biography, Drama","7.1/10","41,759","Frank Marshall","70%"
"2859","Welcome Home Allen","01 Jun 2016",0.050923,0,0,"Short, Action, Drama",NA,"N/A","Andrew Kavanagh",NA
"2860","Never Let Go","28 Nov 1960",0.566582,0,0,"Crime, Drama","7.1/10","681","John Guillermin",NA
"2861","Shocking Dark","22 Aug 1990",0.010746,0,0,"Action, Horror, Sci-Fi","4.8/10","652","Bruno Mattei",NA
"2862","Adventures in Odyssey: Shadow of a Doubt","'12/01/1993'",0.5,0,0,"Animation, Short, Family","7.5/10","20","Mike Joens, Ken C. Johnson",NA
"2863","Ranjhan Mera Yaar","'01/01/1984'",0,0,0,"N/A",NA,"N/A","N/A",NA
"2864","Reality's Invisible","'01/01/1971'",0,0,0,"N/A","7.7/10","10","Robert E. Fulton",NA
"2865","Tales From a Golden Age: Bob Dylan 1941-1966","30 Aug 2004",0.00375,0,0,"Documentary, Music","4.6/10","12","Tom O'Dowd",NA
"2866","KomÃ¶dienstadel - Graf Schorschi","'28/04/1977'",5e-06,0,0,NA,NA,NA,NA,NA
"2867","Horrible Bosses","08 Jul 2011",2.359571,35000000,117000000,"Comedy, Crime","6.9/10","373,730","Seth Gordon","68%"
"2868","Black Eyed Peas: Live from Sydney to Vegas","05 Dec 2006",0.01872,0,0,"Music","8.4/10","15","Nick Wickham",NA
